id,rho_ODE,x,y,z
170,-2.4268798981097e-05,-1.91475,0,0
171,-2.4268798938465e-05,-1.91425,0,0
172,-2.4268798895832e-05,-1.91375,0,0
173,-2.4268798981097e-05,-1.91325,0,0
174,-2.4268798938465e-05,-1.91275,0,0
175,-2.4268798938465e-05,-1.91225,0,0
176,-2.4268798981097e-05,-1.91175,0,0
177,-2.4268798895832e-05,-1.91125,0,0
178,-2.4268798981097e-05,-1.91075,0,0
179,-2.4268798981097e-05,-1.91025,0,0
180,-2.4268798938465e-05,-1.90975,0,0
181,-2.4268798938465e-05,-1.90925,0,0
182,-2.4268798981097e-05,-1.90875,0,0
183,-2.4268798981097e-05,-1.90825,0,0
184,-2.4268798938465e-05,-1.90775,0,0
185,-2.4268798895832e-05,-1.90725,0,0
186,-2.426879902373e-05,-1.90675,0,0
187,-2.4268798981097e-05,-1.90625,0,0
188,-2.4268798938465e-05,-1.90575,0,0
189,-2.4268798895832e-05,-1.90525,0,0
190,-2.4268798981097e-05,-1.90475,0,0
191,-2.4268798981097e-05,-1.90425,0,0
192,-2.4268798981097e-05,-1.90375,0,0
193,-2.4268798895832e-05,-1.90325,0,0
194,-2.4268798981097e-05,-1.90275,0,0
195,-2.4268798981097e-05,-1.90225,0,0
196,-2.4268798938465e-05,-1.90175,0,0
197,-2.4268798938465e-05,-1.90125,0,0
198,-2.4268798938465e-05,-1.90075,0,0
199,-2.4268798938465e-05,-1.90025,0,0
200,-2.4268798938465e-05,-1.89975,0,0
201,-2.4268798938465e-05,-1.89925,0,0
202,-2.4268798895832e-05,-1.89875,0,0
203,-2.4268798938465e-05,-1.89825,0,0
